Afghanistan,阿富汗,a1 fu4 han4
Albania,阿尔巴尼亚,a1 er3 ba1 ni2 ya4
Algeria,阿尔及利亚,a1 er2 ji2 li4 ya4
Andorra,安道尔,an1 dao4 er3
Angola,安哥拉,an1 ge1 la1
Anguilla,安圭拉,an1 gui1 la1
Antarctica,南极洲,nan2 ji2 zhou1
Antigua and Barbuda,安提瓜和巴布达,an1 ti2 gua1 he2 ba1 bu4 da2
Argentina,阿根廷,a1 gen1 ting2
Armenia,亚美尼亚,ya4 mei3 ni2 ya4
Aruba,阿鲁巴,a1 lu2 ba1
Australia,澳大利亚,ao4 da4 li4 ya4
Austria,奥地利,ao4 di4 li4
Azerbaijan,阿塞拜疆,a1 sai4 bai4 jiang1
Bahamas,巴哈马,ba1 ha1 ma3
Bahrain,巴林,ba1 lin2
Bangladesh,孟加拉国,meng4 jia1 la1 guo2
Barbados,巴巴多斯,Ba1 ba1 duo1 si1
Belarus,白俄罗斯,bai2 e2 luo2 si1
Belgium,比利时,bi3 li4 shi2
Belize,伯利兹,bo2 li4 zi1
Benin,贝宁,bei4 ning2
Bermuda,百慕达群岛,bai3 mu4 da2
Bhutan,不丹,bu4 dan1
Bolivia,玻利维亚,bo1 li4 wei2 ya4
Bosnia and Herzegovina,波斯尼亚 - 黑塞哥维那,bo1 si1 ni2 ya4 - hei1 se4 ge1 wei2 na4
Botswana,博茨瓦纳,bo2 ci2 wa3 na4
Brazil,巴西,ba1 xi1
Brunei Darussalam,文莱达鲁萨兰国,wen2 lai2 da2 lu3 sa4 lan2 guo2
Bulgaria,保加利亚,bao3 jia1 li4 ya4
Burkina Faso,布基纳法索,bu4 ji1 na4 fa3 suo3
Burundi,蒲隆地,pu2 long2 di4
Cambodia,柬埔寨,jian3 pu3 zhai4
Cameroon,喀麦隆,ka4 mai4 long2
Canada,加拿大,jia1 na2 da4
Cape Verde,佛得角,fo2 de2 jiao3
Central African Republic,中非共和国,zhong1 fei1 gong4 he2 guo2
Chad,乍得,zha4 de2
Chile,智利,zhi4 li4
China,中国,zhong1 guo2
Colombia,哥伦比亚,ge1 lun2 bi3 ya4
Congo,刚果,gang1 guo3
Costa Rica,哥斯达黎加,ge1 si1 da4 li2 jia1
Ivory Coast,科特迪瓦,ke1 te4 di2 wa3
Croatia,克罗地亚,ke4 luo2 di4 ya4
Cuba,古巴,gu3 ba1
Cyprus,塞浦路斯,se4 pu3 lu4 si1
Czech Republic,捷克共和国,jie2 ke4 gong4 he2 guo2
Denmark,丹麦,dan1 mai4
Djibouti,吉布提,ji2 bu4 ti2
Dominica,多米尼克,duo1 ming2 ni2 jia1
Dominican Republic,多米尼加共和国,duo1 mi3 ni2 jia1 gong4 he2 guo2
East Timor,东帝汶,dong1 di4 wen4
Ecuador,厄瓜多尔,e4 gua1 duo1 er3
Egypt,埃及,ai1 ji2
El Salvador,萨尔瓦多,sa4 er3 wa3 duo1
Equatorial Guinea,赤道几内亚,chi4 dao4 ji3 nei4 ya4
Eritrea,厄立特里亚,e4 li4 te4 li3 ya4
Estonia,爱沙尼亚,ai4 sha1 ni2 ya4
Ethiopia,埃塞俄比亚,ai3 sai4 e2 bi3 ya4
Fiji,斐济,fei3 ji4
Finland,芬兰,fen1 lan2
France,法国,fa3 guo2
French Guiana,法屬圭亞那,fa3 shu3 gui1 ya4 na4
French Polynesia,法属波利尼西亚,fa3 shu3 bo1 li4 ni2 xi1
Gabon,加蓬,jia1 peng2
Gambia,冈比亚,gang1 bi3 ya4
Georgia,格鲁吉亚,ge2 lu3 ji2 ya4
Germany,德国,de2 guo2
Ghana,加纳,jia1 na4
Great Britain,英国,ying1 guo2
Greece,希腊,xi1 la4
Greenland,格陵兰,ge2 ling2 lan2
Guatemala,危地马拉,gua1 di4 ma3 la1
Guinea,几内亚,ji1 nei4 ya4
Guyana,圭亚那,gui1 ya4 na4
Haiti,海地,hai3 di4
Holy See,梵帝冈,fan4 di4 gang1
Honduras,洪都拉斯,hong2 du1 la1 si1
Hong Kong,香港,xiang1 gang3
Hungary,匈牙利,xiong1 ya2 li4
Iceland,冰岛,bing1 dao3
India,印度,yin4 du4
Indonesia,印度尼西亚,yin1 du4 ni2 xi1 ya4
Iran,伊朗,yi1 lang3
Iraq,伊拉克,yi1 la1 ke4
Ireland,爱尔兰,ai4 er3 lan2
Israel,以色列,yi3 se4 lie4
Italy,意大利,yi4 da4 li4
Jamaica,牙买加,ya2 mai3 jia1
Japan,日本,ri4 ben3
Jordan,约旦,yue1 dan4
Kazakhstan,哈萨克斯坦,ha1 sa4 ke4 si1 tan3
Kenya,肯尼亚,ken3 ni2 ya4
Kiribati,基里巴斯,ji2 li3 ba1 si1
North Korea,北韩,bei3 han2
Korea,韩国,han2 guo2
Kuwait,科威特,ke1 wei1 te4
Kyrgyzstan,吉尔吉斯斯坦,ji2 er3 ji2 si1 si1 tan3
Laos,老挝,lao3 wo1
Latvia,拉脱维亚,la1 tuo1 wei2 ya4
Lebanon,黎巴嫩,li2 ba1 nen4
Lesotho,莱索托,lai2 suo3 tuo1
Liberia,利比里亚,li4 bi3 li3 ya4
Libya,利比亚,li4 bi3 ya4
Liechtenstein,列支敦士登,lie4 zhi1 dun1 shi4 deng1
Lithuania,立陶宛,li4 tao2 wan3
Luxembourg,卢森堡,lu2 sen1 bao3
Macao,澳门,ao4 men2
Macedonia,马其顿,ma3 qi2 dun4
Madagascar,马达加斯加,ma3 da2 jia1 si1 jia1
Malawi,马拉维,ma3 la1 wei2
Malaysia,马来西亚,ma3 lai2 xi1 ya4
Maldives,马尔代夫,ma3 er3 dai4 fu1
Mali,马里,ma3 li3
Malta,马耳他,ma3 er3 ta1
Marshall-Islands,马绍尔群岛,ma3 shao4 er3 qun2 dao3
Martinique,马提尼克,ma3 ti2 ni2 ke4
Mauritania,毛里塔尼亚,mao2 li3 ta3 ni2 ya4
Mauritius,毛里求斯,mao2 li3 qiu2 si1
Mexico,墨西哥,mo4 xi1 ge1
Micronesia,密克罗尼西亚,mi4 ke4 luo2 ni2 xi1 ya4
Moldova,摩尔多瓦,mo2 er3 duo1 wa3
Monaco,摩纳哥,mo2 na4 ge1
Mongolia,蒙古,meng3 gu3
Montenegro,黑山,hei1 shan1
Morocco,摩洛哥,mo2 luo4 ge1
Mozambique,莫桑比克,mo4 sang1 bi3 ke4
Myanmar,缅甸,mian3 dian4
Namibia,纳米比亚,na4 mi3 bi3 ya4
Nauru,瑙鲁,nao4 lu3
Nepal,尼泊尔,ni2 bo2 er3
